HEIGHT,HEIGHT_ZSCORE,HEIGHT_MIN_MAX,WEIGHT,WEIGHT_ZSCORE,WEIGHT_MIN_MAX
82.0,1.08002050336109,0.6538461538461539,240.0,1.0657953239986568,0.4713656387665198
81.0,0.8049822844028034,0.6153846153846154,235.0,0.8811022520951669,0.44933920704845814
86.0,2.1801733791942364,0.8076923076923077,225.0,0.5117161082881871,0.4052863436123348
73.0,-1.3953234672634893,0.3076923076923077,162.0,-1.8154165976957857,0.1277533039647577
78.0,-0.020132372472056403,0.5,235.0,0.8811022520951669,0.44933920704845814
81.0,0.8049822844028034,0.6153846153846154,245.0,1.2504883959021467,0.4933920704845815
79.0,0.2549058464862302,0.5384615384615384,220.0,0.3270230363846972,0.3832599118942731
75.0,-0.8452470293469162,0.38461538461538464,180.0,-1.1505215388432222,0.20704845814977973
75.0,-0.8452470293469162,0.38461538461538464,195.0,-0.5964423231327524,0.27312775330396477
78.0,-0.020132372472056403,0.5,200.0,-0.4117492512292624,0.29515418502202645
77.0,-0.29517059143034297,0.46153846153846156,185.0,-0.9658284669397322,0.2290748898678414
72.0,-1.6703616862217758,0.2692307692307692,183.0,-1.0397056957011281,0.22026431718061673
83.0,1.3550587223193766,0.6923076923076923,220.0,0.3270230363846972,0.3832599118942731
78.0,-0.020132372472056403,0.5,210.0,-0.04236310742228263,0.3392070484581498
79.0,0.2549058464862302,0.5384615384615384,240.0,1.0657953239986568,0.4713656387665198
81.0,0.8049822844028034,0.6153846153846154,210.0,-0.04236310742228263,0.3392070484581498
79.0,0.2549058464862302,0.5384615384615384,210.0,-0.04236310742228263,0.3392070484581498
76.0,-0.5702088103886296,0.4230769230769231,220.0,0.3270230363846972,0.3832599118942731
72.0,-1.6703616862217758,0.2692307692307692,225.0,0.5117161082881871,0.4052863436123348
77.0,-0.29517059143034297,0.46153846153846156,209.0,-0.0793017218029806,0.33480176211453744
70.0,-2.220438124138349,0.19230769230769232,165.0,-1.7046007545536919,0.14096916299559473
83.0,1.3550587223193766,0.6923076923076923,265.0,1.9892606835161064,0.5814977973568282
80.0,0.5299440654445168,0.5769230769230769,241.0,1.1027339383793548,0.47577092511013214
81.0,0.8049822844028034,0.6153846153846154,255.0,1.6198745397091265,0.5374449339207048
79.0,0.2549058464862302,0.5384615384615384,200.0,-0.4117492512292624,0.29515418502202645
74.0,-1.1202852483052028,0.34615384615384615,175.0,-1.335214610746712,0.18502202643171806
77.0,-0.29517059143034297,0.46153846153846156,210.0,-0.04236310742228263,0.3392070484581498
77.0,-0.29517059143034297,0.46153846153846156,202.0,-0.33787202246786646,0.3039647577092511
78.0,-0.020132372472056403,0.5,232.0,0.770286408953073,0.43612334801762115
74.0,-1.1202852483052028,0.34615384615384615,190.0,-0.7811353950362423,0.2511013215859031
77.0,-0.29517059143034297,0.46153846153846156,175.0,-1.335214610746712,0.18502202643171806
86.0,2.1801733791942364,0.8076923076923077,248.0,1.3613042390442407,0.5066079295154186
82.0,1.08002050336109,0.6538461538461539,225.0,0.5117161082881871,0.4052863436123348
71.0,-1.9453999051800626,0.23076923076923078,185.0,-0.9658284669397322,0.2290748898678414
78.0,-0.020132372472056403,0.5,200.0,-0.4117492512292624,0.29515418502202645
85.0,1.9051351602359496,0.7692307692307693,252.0,1.5090586965670327,0.5242290748898678
80.0,0.5299440654445168,0.5769230769230769,217.0,0.21620719324260324,0.3700440528634361
81.0,0.8049822844028034,0.6153846153846154,225.0,0.5117161082881871,0.4052863436123348
82.0,1.08002050336109,0.6538461538461539,240.0,1.0657953239986568,0.4713656387665198
83.0,1.3550587223193766,0.6923076923076923,253.0,1.5459973109477305,0.5286343612334802
83.0,1.3550587223193766,0.6923076923076923,250.0,1.4351814678056367,0.5154185022026432
83.0,1.3550587223193766,0.6923076923076923,260.0,1.8045676116126166,0.5594713656387665
80.0,0.5299440654445168,0.5769230769230769,240.0,1.0657953239986568,0.4713656387665198
73.0,-1.3953234672634893,0.3076923076923077,190.0,-0.7811353950362423,0.2511013215859031
77.0,-0.29517059143034297,0.46153846153846156,205.0,-0.22705617932577254,0.31718061674008813
79.0,0.2549058464862302,0.5384615384615384,240.0,1.0657953239986568,0.4713656387665198
80.0,0.5299440654445168,0.5769230769230769,230.0,0.696409180191677,0.42731277533039647
82.0,1.08002050336109,0.6538461538461539,216.0,0.17926857886190525,0.3656387665198238
82.0,1.08002050336109,0.6538461538461539,265.0,1.9892606835161064,0.5814977973568282
78.0,-0.020132372472056403,0.5,205.0,-0.22705617932577254,0.31718061674008813
74.0,-1.1202852483052028,0.34615384615384615,183.0,-1.0397056957011281,0.22026431718061673
77.0,-0.29517059143034297,0.46153846153846156,225.0,0.5117161082881871,0.4052863436123348
81.0,0.8049822844028034,0.6153846153846154,205.0,-0.22705617932577254,0.31718061674008813
76.0,-0.5702088103886296,0.4230769230769231,198.0,-0.4856264799906584,0.28634361233480177
83.0,1.3550587223193766,0.6923076923076923,243.0,1.1766111671407509,0.4845814977973568
76.0,-0.5702088103886296,0.4230769230769231,184.0,-1.0027670813204301,0.22466960352422907
73.0,-1.3953234672634893,0.3076923076923077,200.0,-0.4117492512292624,0.29515418502202645
81.0,0.8049822844028034,0.6153846153846154,260.0,1.8045676116126166,0.5594713656387665
74.0,-1.1202852483052028,0.34615384615384615,175.0,-1.335214610746712,0.18502202643171806
82.0,1.08002050336109,0.6538461538461539,255.0,1.6198745397091265,0.5374449339207048
80.0,0.5299440654445168,0.5769230769230769,220.0,0.3270230363846972,0.3832599118942731
