HOME_OR_AWAY,PLUS_MINUS,Z_SCORE_NORMALIZED,MIN_MAX_NORMALIZED
home,15,1.0026126045821682,0.5913978494623656
home,-19,-1.6613405057597108,0.22580645161290322
home,-4,-0.486067074726529,0.3870967741935484
home,-3,-0.40771551265765016,0.3978494623655914
home,-3,-0.40771551265765016,0.3978494623655914
home,18,1.2376672907888044,0.6236559139784946
home,5,0.21909698389338017,0.4838709677419355
home,3,0.06239385975562258,0.46236559139784944
home,3,0.06239385975562258,0.46236559139784944
home,-18,-1.582988943690832,0.23655913978494625
home,-20,-1.7396920678285896,0.21505376344086022
home,-2,-0.3293639505887714,0.40860215053763443
home,17,1.1593157287199258,0.6129032258064516
home,-12,-1.1128795712775592,0.3010752688172043
home,6,0.29744854596225895,0.4946236559139785
home,-1,-0.2510123885198926,0.41935483870967744
home,-8,-0.7994733230020441,0.34408602150537637
home,6,0.29744854596225895,0.4946236559139785
home,-8,-0.7994733230020441,0.34408602150537637
home,-3,-0.40771551265765016,0.3978494623655914
home,2,-0.01595770231325621,0.45161290322580644
home,7,0.3758001080311378,0.5053763440860215
home,-5,-0.5644186367954077,0.3763440860215054
home,-3,-0.40771551265765016,0.3978494623655914
home,-5,-0.5644186367954077,0.3763440860215054
home,-19,-1.6613405057597108,0.22580645161290322
home,-21,-1.8180436298974685,0.20430107526881722
home,-7,-0.7211217609331653,0.3548387096774194
home,16,1.080964166651047,0.6021505376344086
home,-8,-0.7994733230020441,0.34408602150537637
home,18,1.2376672907888044,0.6236559139784946
home,-12,-1.1128795712775592,0.3010752688172043
home,1,-0.09430926438213501,0.44086021505376344
home,-3,-0.40771551265765016,0.3978494623655914
home,-40,-3.3067233092061654,0.0
home,-5,-0.5644186367954077,0.3763440860215054
home,1,-0.09430926438213501,0.44086021505376344
home,-21,-1.8180436298974685,0.20430107526881722
home,-33,-2.758262374724014,0.07526881720430108
home,4,0.14074542182450137,0.4731182795698925
home,-4,-0.486067074726529,0.3870967741935484
home,-8,-0.7994733230020441,0.34408602150537637
home,4,0.14074542182450137,0.4731182795698925
home,1,-0.09430926438213501,0.44086021505376344
home,-11,-1.0345280092086804,0.3118279569892473
home,12,0.7675579183755318,0.5591397849462365
home,-8,-0.7994733230020441,0.34408602150537637
home,-8,-0.7994733230020441,0.34408602150537637
home,-3,-0.40771551265765016,0.3978494623655914
home,-11,-1.0345280092086804,0.3118279569892473
home,4,0.14074542182450137,0.4731182795698925
home,11,0.689206356306653,0.5483870967741935
home,2,-0.01595770231325621,0.45161290322580644
home,8,0.45415167010001656,0.5161290322580645
home,-10,-0.9561764471398017,0.3225806451612903
home,-6,-0.6427701988642864,0.3655913978494624
home,3,0.06239385975562258,0.46236559139784944
home,2,-0.01595770231325621,0.45161290322580644
home,-7,-0.7211217609331653,0.3548387096774194
home,14,0.9242610425132893,0.5806451612903226
home,-3,-0.40771551265765016,0.3978494623655914
home,12,0.7675579183755318,0.5591397849462365
home,-12,-1.1128795712775592,0.3010752688172043
home,36,2.6479954080286228,0.8172043010752689
home,24,1.7077766632020772,0.6881720430107527
home,-12,-1.1128795712775592,0.3010752688172043
home,5,0.21909698389338017,0.4838709677419355
home,-4,-0.486067074726529,0.3870967741935484
home,-3,-0.40771551265765016,0.3978494623655914
home,-4,-0.486067074726529,0.3870967741935484
home,-6,-0.6427701988642864,0.3655913978494624
home,-3,-0.40771551265765016,0.3978494623655914
home,4,0.14074542182450137,0.4731182795698925
home,12,0.7675579183755318,0.5591397849462365
home,-5,-0.5644186367954077,0.3763440860215054
home,-11,-1.0345280092086804,0.3118279569892473
home,-14,-1.2695826954153169,0.27956989247311825
home,-13,-1.191231133346438,0.2903225806451613
home,5,0.21909698389338017,0.4838709677419355
home,6,0.29744854596225895,0.4946236559139785
home,-36,-2.99331706093065,0.043010752688172046
home,-11,-1.0345280092086804,0.3118279569892473
home,18,1.2376672907888044,0.6236559139784946
home,-17,-1.5046373816219532,0.24731182795698925
home,-2,-0.3293639505887714,0.40860215053763443
home,-23,-1.974746754035226,0.1827956989247312
home,-28,-2.36650456437962,0.12903225806451613
home,-13,-1.191231133346438,0.2903225806451613
home,-1,-0.2510123885198926,0.41935483870967744
home,-5,-0.5644186367954077,0.3763440860215054
home,-10,-0.9561764471398017,0.3225806451612903
home,-13,-1.191231133346438,0.2903225806451613
home,-7,-0.7211217609331653,0.3548387096774194
home,-5,-0.5644186367954077,0.3763440860215054
home,1,-0.09430926438213501,0.44086021505376344
home,-2,-0.3293639505887714,0.40860215053763443
home,-3,-0.40771551265765016,0.3978494623655914
home,-24,-2.053098316104105,0.17204301075268819
home,-2,-0.3293639505887714,0.40860215053763443
home,-8,-0.7994733230020441,0.34408602150537637
home,8,0.45415167010001656,0.5161290322580645
home,-11,-1.0345280092086804,0.3118279569892473
home,1,-0.09430926438213501,0.44086021505376344
home,6,0.29744854596225895,0.4946236559139785
home,4,0.14074542182450137,0.4731182795698925
home,-5,-0.5644186367954077,0.3763440860215054
home,8,0.45415167010001656,0.5161290322580645
home,-9,-0.8778248850709228,0.3333333333333333
home,-21,-1.8180436298974685,0.20430107526881722
home,-37,-3.071668622999529,0.03225806451612903
home,8,0.45415167010001656,0.5161290322580645
home,-15,-1.3479342574841957,0.26881720430107525
home,-12,-1.1128795712775592,0.3010752688172043
home,1,-0.09430926438213501,0.44086021505376344
home,-2,-0.3293639505887714,0.40860215053763443
home,-17,-1.5046373816219532,0.24731182795698925
home,-1,-0.2510123885198926,0.41935483870967744
home,-27,-2.2881530023107413,0.13978494623655913
