PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
98,99,Indiana Pacers,Toronto Raptors,2000-12-20
72,78,Toronto Raptors,Atlanta Hawks,2000-12-22
100,97,Minnesota Timberwolves,Toronto Raptors,2000-12-26
93,94,Denver Nuggets,Toronto Raptors,2000-12-28
109,103,Phoenix Suns,Toronto Raptors,2000-12-30
110,97,Los Angeles Clippers,Toronto Raptors,2001-01-02
105,115,Toronto Raptors,Dallas Mavericks,2001-01-05
94,92,Toronto Raptors,Seattle SuperSonics,2001-01-07
91,110,Toronto Raptors,Houston Rockets,2001-01-09
85,110,Detroit Pistons,Toronto Raptors,2001-01-10
72,93,Boston Celtics,Toronto Raptors,2001-01-12
107,99,Toronto Raptors,Charlotte Hornets,2001-01-14
114,99,Houston Rockets,Toronto Raptors,2001-01-16
91,98,San Antonio Spurs,Toronto Raptors,2001-01-17
101,79,Toronto Raptors,Washington Wizards,2001-01-19
106,110,Philadelphia 76ers,Toronto Raptors,2001-01-21
116,111,Orlando Magic,Toronto Raptors,2001-01-23
103,83,Miami Heat,Toronto Raptors,2001-01-24
80,90,Chicago Bulls,Toronto Raptors,2001-01-27
96,89,Toronto Raptors,Philadelphia 76ers,2001-01-30
102,97,Atlanta Hawks,Toronto Raptors,2001-01-31
105,108,Toronto Raptors,Minnesota Timberwolves,2001-02-03
110,98,Toronto Raptors,Boston Celtics,2001-02-05
99,92,Toronto Raptors,Denver Nuggets,2001-02-08
105,120,Cleveland Cavaliers,Toronto Raptors,2001-02-13
91,98,Toronto Raptors,Miami Heat,2001-02-15
74,92,Toronto Raptors,San Antonio Spurs,2001-02-18
113,102,Toronto Raptors,Golden State Warriors,2001-02-20
113,111,New Jersey Nets,Toronto Raptors,2001-02-21
118,119,Toronto Raptors,Sacramento Kings,2001-02-23
99,106,Washington Wizards,Toronto Raptors,2001-02-24
101,89,Toronto Raptors,Cleveland Cavaliers,2001-02-27
88,95,Atlanta Hawks,Toronto Raptors,2001-02-28
107,90,Toronto Raptors,New Jersey Nets,2001-03-02
98,88,Toronto Raptors,New York Knicks,2001-03-04
98,91,Sacramento Kings,Toronto Raptors,2001-03-06
97,85,Los Angeles Lakers,Toronto Raptors,2001-03-07
99,110,Seattle SuperSonics,Toronto Raptors,2001-03-09
84,101,Vancouver Grizzlies,Toronto Raptors,2001-03-11
97,101,Toronto Raptors,Milwaukee Bucks,2001-03-13
88,72,New York Knicks,Toronto Raptors,2001-03-15
102,81,Toronto Raptors,Indiana Pacers,2001-03-20
111,95,Charlotte Hornets,Toronto Raptors,2001-03-21
112,86,Toronto Raptors,Atlanta Hawks,2001-03-23
102,92,Toronto Raptors,Vancouver Grizzlies,2001-03-25
92,101,Miami Heat,Toronto Raptors,2001-03-27
110,99,Toronto Raptors,New Jersey Nets,2001-03-30
101,104,Toronto Raptors,Orlando Magic,2001-04-01
100,85,Toronto Raptors,Philadelphia 76ers,2001-04-03
94,97,Cleveland Cavaliers,Toronto Raptors,2001-04-04
100,108,Orlando Magic,Toronto Raptors,2001-04-06
100,88,Toronto Raptors,Chicago Bulls,2001-04-08
99,87,Detroit Pistons,Toronto Raptors,2001-04-11
94,82,Toronto Raptors,Miami Heat,2001-04-13
112,86,Milwaukee Bucks,Toronto Raptors,2001-04-14
94,92,Toronto Raptors,Detroit Pistons,2001-04-17
92,98,Washington Wizards,Toronto Raptors,2001-04-18
114,85,Orlando Magic,Toronto Raptors,2001-10-30
97,92,Miami Heat,Toronto Raptors,2001-10-31
109,92,Toronto Raptors,Dallas Mavericks,2001-11-02
113,100,Toronto Raptors,Indiana Pacers,2001-11-04
109,92,Toronto Raptors,Golden State Warriors,2001-11-07
96,117,Utah Jazz,Toronto Raptors,2001-11-10
96,85,Denver Nuggets,Toronto Raptors,2001-11-11
95,86,Sacramento Kings,Toronto Raptors,2001-11-13
82,89,Golden State Warriors,Toronto Raptors,2001-11-14
85,94,Los Angeles Clippers,Toronto Raptors,2001-11-16
81,87,Phoenix Suns,Toronto Raptors,2001-11-18
84,88,Toronto Raptors,Detroit Pistons,2001-11-20
75,78,Toronto Raptors,Milwaukee Bucks,2001-11-22
89,91,Boston Celtics,Toronto Raptors,2001-11-23
107,88,Toronto Raptors,Philadelphia 76ers,2001-11-25
91,88,Toronto Raptors,Memphis Grizzlies,2001-11-29
103,104,Atlanta Hawks,Toronto Raptors,2001-12-01
69,85,Toronto Raptors,Boston Celtics,2001-12-02
95,89,Milwaukee Bucks,Toronto Raptors,2001-12-06
98,96,Toronto Raptors,Denver Nuggets,2001-12-07
90,91,Toronto Raptors,Phoenix Suns,2001-12-09
108,95,San Antonio Spurs,Toronto Raptors,2001-12-12
104,90,Charlotte Hornets,Toronto Raptors,2001-12-13
88,93,Toronto Raptors,Washington Wizards,2001-12-16
90,102,Indiana Pacers,Toronto Raptors,2001-12-19
96,91,Toronto Raptors,Chicago Bulls,2001-12-20
83,76,Toronto Raptors,Miami Heat,2001-12-23
102,94,New York Knicks,Toronto Raptors,2001-12-25
86,89,Los Angeles Lakers,Toronto Raptors,2001-12-28
101,75,Seattle SuperSonics,Toronto Raptors,2001-12-29
84,95,Portland Trail Blazers,Toronto Raptors,2002-01-02
101,91,Toronto Raptors,Cleveland Cavaliers,2002-01-04
89,109,Toronto Raptors,Los Angeles Lakers,2002-01-06
84,81,Memphis Grizzlies,Toronto Raptors,2002-01-08
73,85,Chicago Bulls,Toronto Raptors,2002-01-09
94,91,Toronto Raptors,Atlanta Hawks,2002-01-11
72,79,Toronto Raptors,Los Angeles Clippers,2002-01-13
90,92,Detroit Pistons,Toronto Raptors,2002-01-15
109,103,Toronto Raptors,Houston Rockets,2002-01-16
89,77,Toronto Raptors,New Jersey Nets,2002-01-18
89,91,Charlotte Hornets,Toronto Raptors,2002-01-19
106,97,Boston Celtics,Toronto Raptors,2002-01-21
92,96,Toronto Raptors,New York Knicks,2002-01-23
107,100,Toronto Raptors,Minnesota Timberwolves,2002-01-25
106,97,Toronto Raptors,Orlando Magic,2002-01-27
97,92,Toronto Raptors,Boston Celtics,2002-01-31
98,91,New Jersey Nets,Toronto Raptors,2002-02-02
93,100,Philadelphia 76ers,Toronto Raptors,2002-02-04
99,94,Washington Wizards,Toronto Raptors,2002-02-05
80,74,Toronto Raptors,San Antonio Spurs,2002-02-07
99,81,Cleveland Cavaliers,Toronto Raptors,2002-02-12
89,82,New York Knicks,Toronto Raptors,2002-02-13
85,94,Toronto Raptors,Utah Jazz,2002-02-15
86,91,Toronto Raptors,Milwaukee Bucks,2002-02-17
89,76,Detroit Pistons,Toronto Raptors,2002-02-18
77,78,Toronto Raptors,Charlotte Hornets,2002-02-20
72,80,Toronto Raptors,Detroit Pistons,2002-02-22
92,101,Toronto Raptors,Seattle SuperSonics,2002-02-24
85,90,Toronto Raptors,Orlando Magic,2002-02-27
81,91,Toronto Raptors,Portland Trail Blazers,2002-03-01
84,96,Toronto Raptors,Philadelphia 76ers,2002-03-03
112,109,Houston Rockets,Toronto Raptors,2002-03-05
122,103,Dallas Mavericks,Toronto Raptors,2002-03-07
74,83,Miami Heat,Toronto Raptors,2002-03-08
92,79,Orlando Magic,Toronto Raptors,2002-03-10
86,84,New Jersey Nets,Toronto Raptors,2002-03-12
113,116,Toronto Raptors,Sacramento Kings,2002-03-17
112,80,Minnesota Timberwolves,Toronto Raptors,2002-03-19
80,94,Cleveland Cavaliers,Toronto Raptors,2002-03-22
92,91,Toronto Raptors,Washington Wizards,2002-03-24
81,80,Toronto Raptors,Miami Heat,2002-03-27
83,85,Atlanta Hawks,Toronto Raptors,2002-03-28
70,72,Philadelphia 76ers,Toronto Raptors,2002-03-31
117,104,Toronto Raptors,Chicago Bulls,2002-04-03
96,98,Chicago Bulls,Toronto Raptors,2002-04-05
94,84,Toronto Raptors,Indiana Pacers,2002-04-07
84,80,Toronto Raptors,Charlotte Hornets,2002-04-09
98,82,Indiana Pacers,Toronto Raptors,2002-04-10
112,73,Toronto Raptors,Atlanta Hawks,2002-04-12
101,82,Toronto Raptors,New Jersey Nets,2002-04-14
105,89,Milwaukee Bucks,Toronto Raptors,2002-04-16
103,85,Toronto Raptors,Cleveland Cavaliers,2002-04-17
74,68,Toronto Raptors,Washington Wizards,2002-10-30
91,72,San Antonio Spurs,Toronto Raptors,2002-11-01
88,76,Houston Rockets,Toronto Raptors,2002-11-02
109,105,Toronto Raptors,Chicago Bulls,2002-11-04
92,106,Toronto Raptors,Dallas Mavericks,2002-11-06
108,84,Indiana Pacers,Toronto Raptors,2002-11-09
109,115,Orlando Magic,Toronto Raptors,2002-11-12
84,79,Toronto Raptors,Denver Nuggets,2002-11-15
78,82,Toronto Raptors,Utah Jazz,2002-11-17
117,92,Atlanta Hawks,Toronto Raptors,2002-11-18
95,97,Toronto Raptors,Indiana Pacers,2002-11-20
90,80,Philadelphia 76ers,Toronto Raptors,2002-11-22
84,94,Toronto Raptors,Philadelphia 76ers,2002-11-24
81,87,Toronto Raptors,New York Knicks,2002-11-27
95,98,Boston Celtics,Toronto Raptors,2002-11-29
87,92,Memphis Grizzlies,Toronto Raptors,2002-12-01
113,102,Dallas Mavericks,Toronto Raptors,2002-12-02
89,74,New Orleans Hornets,Toronto Raptors,2002-12-04
103,89,Toronto Raptors,Chicago Bulls,2002-12-06
91,104,Toronto Raptors,Portland Trail Blazers,2002-12-08
96,83,Cleveland Cavaliers,Toronto Raptors,2002-12-11
79,91,Toronto Raptors,Seattle SuperSonics,2002-12-13
82,95,Toronto Raptors,Washington Wizards,2002-12-15
117,122,Milwaukee Bucks,Toronto Raptors,2002-12-17
96,83,Chicago Bulls,Toronto Raptors,2002-12-18
77,97,Toronto Raptors,Miami Heat,2002-12-20
107,109,Toronto Raptors,Los Angeles Lakers,2002-12-22
97,88,Seattle SuperSonics,Toronto Raptors,2002-12-26
101,96,Golden State Warriors,Toronto Raptors,2002-12-27
104,88,Los Angeles Lakers,Toronto Raptors,2002-12-29
107,85,Utah Jazz,Toronto Raptors,2002-12-30
95,75,New York Knicks,Toronto Raptors,2003-01-01
80,81,Toronto Raptors,Cleveland Cavaliers,2003-01-03
84,99,Toronto Raptors,New Orleans Hornets,2003-01-05
82,74,Detroit Pistons,Toronto Raptors,2003-01-06
79,94,Toronto Raptors,New Jersey Nets,2003-01-10
105,91,Toronto Raptors,Minnesota Timberwolves,2003-01-12
75,84,Washington Wizards,Toronto Raptors,2003-01-14
87,99,Toronto Raptors,Milwaukee Bucks,2003-01-15
88,77,New Jersey Nets,Toronto Raptors,2003-01-17
93,101,Toronto Raptors,Orlando Magic,2003-01-19
89,81,Minnesota Timberwolves,Toronto Raptors,2003-01-20
101,98,Indiana Pacers,Toronto Raptors,2003-01-22
101,97,Toronto Raptors,Sacramento Kings,2003-01-26
104,83,New Orleans Hornets,Toronto Raptors,2003-01-29
102,90,Toronto Raptors,Indiana Pacers,2003-01-31
100,86,Toronto Raptors,Los Angeles Clippers,2003-02-02
95,98,Milwaukee Bucks,Toronto Raptors,2003-02-04
97,96,Toronto Raptors,Atlanta Hawks,2003-02-12
114,118,Toronto Raptors,Golden State Warriors,2003-02-14
99,97,Toronto Raptors,Orlando Magic,2003-02-16
84,89,Toronto Raptors,Detroit Pistons,2003-02-19
92,89,Toronto Raptors,Phoenix Suns,2003-02-21
103,95,Chicago Bulls,Toronto Raptors,2003-02-26
90,85,Boston Celtics,Toronto Raptors,2003-02-28
104,92,Toronto Raptors,Boston Celtics,2003-03-02
86,89,Washington Wizards,Toronto Raptors,2003-03-04
95,97,Toronto Raptors,Houston Rockets,2003-03-05
98,107,Atlanta Hawks,Toronto Raptors,2003-03-08
106,119,Toronto Raptors,Memphis Grizzlies,2003-03-09
95,87,Denver Nuggets,Toronto Raptors,2003-03-11
125,103,Portland Trail Blazers,Toronto Raptors,2003-03-12
119,84,Sacramento Kings,Toronto Raptors,2003-03-14
111,110,Los Angeles Clippers,Toronto Raptors,2003-03-16
95,91,Phoenix Suns,Toronto Raptors,2003-03-17
87,86,Toronto Raptors,Atlanta Hawks,2003-03-19
107,98,Miami Heat,Toronto Raptors,2003-03-21
95,112,Toronto Raptors,Philadelphia 76ers,2003-03-23
100,90,New York Knicks,Toronto Raptors,2003-03-24
89,83,Toronto Raptors,Cleveland Cavaliers,2003-03-26
92,101,Toronto Raptors,New Orleans Hornets,2003-03-28
95,86,Toronto Raptors,New York Knicks,2003-03-30
85,92,Toronto Raptors,Detroit Pistons,2003-04-01
78,89,Detroit Pistons,Toronto Raptors,2003-04-02
98,124,Toronto Raptors,San Antonio Spurs,2003-04-04
87,96,Toronto Raptors,New Jersey Nets,2003-04-06
89,83,Miami Heat,Toronto Raptors,2003-04-08
88,82,Orlando Magic,Toronto Raptors,2003-04-09
103,105,Toronto Raptors,Milwaukee Bucks,2003-04-11
94,86,New Jersey Nets,Toronto Raptors,2003-04-12
99,103,Toronto Raptors,Miami Heat,2003-04-15
96,86,Cleveland Cavaliers,Toronto Raptors,2003-04-16
90,87,Toronto Raptors,New Jersey Nets,2003-10-29
82,79,Toronto Raptors,Washington Wizards,2003-10-31
73,56,Minnesota Timberwolves,Toronto Raptors,2003-11-01
77,71,Toronto Raptors,Dallas Mavericks,2003-11-06
86,60,Washington Wizards,Toronto Raptors,2003-11-07
89,76,Toronto Raptors,Denver Nuggets,2003-11-09
83,80,Portland Trail Blazers,Toronto Raptors,2003-11-11
94,79,Los Angeles Lakers,Toronto Raptors,2003-11-12
94,64,Sacramento Kings,Toronto Raptors,2003-11-14
101,97,Toronto Raptors,Houston Rockets,2003-11-16
75,81,Toronto Raptors,Philadelphia 76ers,2003-11-19
80,81,New Jersey Nets,Toronto Raptors,2003-11-22
62,82,Toronto Raptors,Milwaukee Bucks,2003-11-23
97,99,Atlanta Hawks,Toronto Raptors,2003-11-26
86,87,Orlando Magic,Toronto Raptors,2003-11-28
78,66,Miami Heat,Toronto Raptors,2003-11-29
88,95,Philadelphia 76ers,Toronto Raptors,2003-12-02
105,95,Toronto Raptors,Boston Celtics,2003-12-03
92,87,Toronto Raptors,Atlanta Hawks,2003-12-05
108,98,Toronto Raptors,Seattle SuperSonics,2003-12-07
93,100,Cleveland Cavaliers,Toronto Raptors,2003-12-09
114,111,Boston Celtics,Toronto Raptors,2003-12-12
89,90,Toronto Raptors,Miami Heat,2003-12-14
111,94,Dallas Mavericks,Toronto Raptors,2003-12-15
73,70,San Antonio Spurs,Toronto Raptors,2003-12-17
105,99,Toronto Raptors,New York Knicks,2003-12-19
93,104,Toronto Raptors,Orlando Magic,2003-12-21
97,94,Utah Jazz,Toronto Raptors,2003-12-26
88,94,Los Angeles Clippers,Toronto Raptors,2003-12-28
74,81,Denver Nuggets,Toronto Raptors,2003-12-30
74,86,Toronto Raptors,New Orleans Hornets,2004-01-02
83,73,Toronto Raptors,Phoenix Suns,2004-01-04
75,69,Toronto Raptors,Cleveland Cavaliers,2004-01-07
68,78,Toronto Raptors,Los Angeles Clippers,2004-01-09
83,72,Toronto Raptors,Portland Trail Blazers,2004-01-11
95,91,Detroit Pistons,Toronto Raptors,2004-01-14
74,78,New Orleans Hornets,Toronto Raptors,2004-01-15
75,70,Atlanta Hawks,Toronto Raptors,2004-01-17
90,79,New York Knicks,Toronto Raptors,2004-01-19
97,108,Toronto Raptors,Minnesota Timberwolves,2004-01-21
98,86,Milwaukee Bucks,Toronto Raptors,2004-01-23
96,89,Chicago Bulls,Toronto Raptors,2004-01-25
94,84,Toronto Raptors,Philadelphia 76ers,2004-01-28
89,90,Toronto Raptors,Detroit Pistons,2004-01-30
83,84,Toronto Raptors,Los Angeles Lakers,2004-02-01
80,93,Philadelphia 76ers,Toronto Raptors,2004-02-03
110,90,Toronto Raptors,Orlando Magic,2004-02-04
77,83,Toronto Raptors,Indiana Pacers,2004-02-06
81,84,Golden State Warriors,Toronto Raptors,2004-02-08
94,101,Phoenix Suns,Toronto Raptors,2004-02-10
94,74,Seattle SuperSonics,Toronto Raptors,2004-02-12
75,73,Chicago Bulls,Toronto Raptors,2004-02-17
82,86,Toronto Raptors,San Antonio Spurs,2004-02-18
72,91,Toronto Raptors,New Jersey Nets,2004-02-20
81,96,Toronto Raptors,Sacramento Kings,2004-02-22
86,74,New Jersey Nets,Toronto Raptors,2004-02-24
74,76,Toronto Raptors,Washington Wizards,2004-02-25
88,75,Boston Celtics,Toronto Raptors,2004-02-27
82,91,Toronto Raptors,Boston Celtics,2004-02-29
86,89,Miami Heat,Toronto Raptors,2004-03-02
84,70,Washington Wizards,Toronto Raptors,2004-03-03
103,109,Toronto Raptors,New York Knicks,2004-03-05
84,76,Toronto Raptors,New Orleans Hornets,2004-03-07
94,84,Indiana Pacers,Toronto Raptors,2004-03-09
92,106,Toronto Raptors,Cleveland Cavaliers,2004-03-10
101,84,Toronto Raptors,Atlanta Hawks,2004-03-14
85,81,Toronto Raptors,Utah Jazz,2004-03-17
91,96,Toronto Raptors,Chicago Bulls,2004-03-19
120,121,New Orleans Hornets,Toronto Raptors,2004-03-21
95,86,Memphis Grizzlies,Toronto Raptors,2004-03-23
90,89,Houston Rockets,Toronto Raptors,2004-03-24
108,101,New York Knicks,Toronto Raptors,2004-03-26
88,94,Toronto Raptors,Memphis Grizzlies,2004-03-28
78,85,Toronto Raptors,Golden State Warriors,2004-03-31
84,64,Indiana Pacers,Toronto Raptors,2004-04-02
83,90,Toronto Raptors,Milwaukee Bucks,2004-04-04
86,87,Cleveland Cavaliers,Toronto Raptors,2004-04-06
90,94,Toronto Raptors,Indiana Pacers,2004-04-07
74,66,Detroit Pistons,Toronto Raptors,2004-04-09
108,114,Toronto Raptors,Chicago Bulls,2004-04-11
87,78,Toronto Raptors,Detroit Pistons,2004-04-13
87,89,Milwaukee Bucks,Toronto Raptors,2004-04-14
95,88,Toronto Raptors,Houston Rockets,2004-11-03
101,89,Toronto Raptors,Detroit Pistons,2004-11-05
101,97,Toronto Raptors,Portland Trail Blazers,2004-11-07
108,92,Sacramento Kings,Toronto Raptors,2004-11-09
95,104,Utah Jazz,Toronto Raptors,2004-11-10
88,87,Seattle SuperSonics,Toronto Raptors,2004-11-12
105,102,Portland Trail Blazers,Toronto Raptors,2004-11-13
101,89,Los Angeles Clippers,Toronto Raptors,2004-11-16
112,106,Denver Nuggets,Toronto Raptors,2004-11-17
94,101,Toronto Raptors,Seattle SuperSonics,2004-11-19
96,91,Toronto Raptors,San Antonio Spurs,2004-11-21
102,86,Washington Wizards,Toronto Raptors,2004-11-23
114,91,Toronto Raptors,New York Knicks,2004-11-24
108,102,New York Knicks,Toronto Raptors,2004-11-27
109,114,Toronto Raptors,Washington Wizards,2004-11-28
92,94,Miami Heat,Toronto Raptors,2004-11-30
129,108,Orlando Magic,Toronto Raptors,2004-12-01
91,89,Boston Celtics,Toronto Raptors,2004-12-03
105,97,Cleveland Cavaliers,Toronto Raptors,2004-12-04
88,86,New Jersey Nets,Toronto Raptors,2004-12-06
90,86,Detroit Pistons,Toronto Raptors,2004-12-08
87,101,Toronto Raptors,Denver Nuggets,2004-12-10
98,106,Toronto Raptors,Miami Heat,2004-12-12
96,90,Toronto Raptors,Minnesota Timberwolves,2004-12-15
89,86,Indiana Pacers,Toronto Raptors,2004-12-17
110,99,Toronto Raptors,New Jersey Nets,2004-12-19
114,102,Houston Rockets,Toronto Raptors,2004-12-20
98,86,Toronto Raptors,Utah Jazz,2004-12-22
106,94,Phoenix Suns,Toronto Raptors,2004-12-26
117,99,Los Angeles Lakers,Toronto Raptors,2004-12-28
111,105,Golden State Warriors,Toronto Raptors,2004-12-29
105,94,Toronto Raptors,Orlando Magic,2005-01-03
96,93,Toronto Raptors,Sacramento Kings,2005-01-05
105,107,Toronto Raptors,Milwaukee Bucks,2005-01-07
109,87,Toronto Raptors,Golden State Warriors,2005-01-09
104,93,Toronto Raptors,Boston Celtics,2005-01-12
106,96,Philadelphia 76ers,Toronto Raptors,2005-01-14
102,99,Toronto Raptors,New Orleans Hornets,2005-01-16
91,100,Minnesota Timberwolves,Toronto Raptors,2005-01-17
98,81,Toronto Raptors,New York Knicks,2005-01-19
118,109,Washington Wizards,Toronto Raptors,2005-01-21
103,92,Toronto Raptors,Charlotte Bobcats,2005-01-23
96,111,Toronto Raptors,Miami Heat,2005-01-26
101,94,Charlotte Bobcats,Toronto Raptors,2005-01-28
105,123,Toronto Raptors,Phoenix Suns,2005-01-30
97,98,Indiana Pacers,Toronto Raptors,2005-02-02
103,100,Toronto Raptors,Washington Wizards,2005-02-04
113,122,Toronto Raptors,Dallas Mavericks,2005-02-06
104,91,Cleveland Cavaliers,Toronto Raptors,2005-02-08
107,110,Toronto Raptors,Milwaukee Bucks,2005-02-09
91,106,Toronto Raptors,Philadelphia 76ers,2005-02-11
109,106,Toronto Raptors,Los Angeles Clippers,2005-02-13
115,121,Toronto Raptors,Chicago Bulls,2005-02-16
82,100,New Jersey Nets,Toronto Raptors,2005-02-22
102,106,Milwaukee Bucks,Toronto Raptors,2005-02-25
108,102,Toronto Raptors,Los Angeles Lakers,2005-02-27
92,86,San Antonio Spurs,Toronto Raptors,2005-03-02
86,75,Memphis Grizzlies,Toronto Raptors,2005-03-04
84,95,New Orleans Hornets,Toronto Raptors,2005-03-06
113,105,Dallas Mavericks,Toronto Raptors,2005-03-07
106,96,Toronto Raptors,Orlando Magic,2005-03-09
112,116,Toronto Raptors,Atlanta Hawks,2005-03-11
128,110,Toronto Raptors,Philadelphia 76ers,2005-03-13
110,109,Boston Celtics,Toronto Raptors,2005-03-16
103,92,Detroit Pistons,Toronto Raptors,2005-03-18
105,98,Toronto Raptors,Cleveland Cavaliers,2005-03-20
85,94,Toronto Raptors,Chicago Bulls,2005-03-23
103,101,Philadelphia 76ers,Toronto Raptors,2005-03-25
104,109,Atlanta Hawks,Toronto Raptors,2005-03-26
103,91,Miami Heat,Toronto Raptors,2005-03-29
108,96,Orlando Magic,Toronto Raptors,2005-03-30
107,119,Charlotte Bobcats,Toronto Raptors,2005-04-01
103,113,Toronto Raptors,Detroit Pistons,2005-04-03
74,104,Toronto Raptors,Memphis Grizzlies,2005-04-06
109,101,Toronto Raptors,Atlanta Hawks,2005-04-08
110,97,Chicago Bulls,Toronto Raptors,2005-04-09
90,94,Toronto Raptors,Indiana Pacers,2005-04-11
93,105,New York Knicks,Toronto Raptors,2005-04-12
90,101,Toronto Raptors,New Jersey Nets,2005-04-15
98,103,Toronto Raptors,Boston Celtics,2005-04-17
109,127,Milwaukee Bucks,Toronto Raptors,2005-04-19
95,104,Toronto Raptors,Cleveland Cavaliers,2005-04-20
96,99,Toronto Raptors,Washington Wizards,2005-11-02
92,102,Toronto Raptors,New Jersey Nets,2005-11-04
117,84,Detroit Pistons,Toronto Raptors,2005-11-05
93,105,Toronto Raptors,Cleveland Cavaliers,2005-11-07
84,99,Toronto Raptors,Utah Jazz,2005-11-11
121,126,Toronto Raptors,Seattle SuperSonics,2005-11-13
104,92,Philadelphia 76ers,Toronto Raptors,2005-11-15
115,121,Toronto Raptors,Philadelphia 76ers,2005-11-16
100,93,Boston Celtics,Toronto Raptors,2005-11-18
107,94,Toronto Raptors,Miami Heat,2005-11-20
90,82,Phoenix Suns,Toronto Raptors,2005-11-22
103,100,Los Angeles Clippers,Toronto Raptors,2005-11-23
106,104,Sacramento Kings,Toronto Raptors,2005-11-25
117,91,Golden State Warriors,Toronto Raptors,2005-11-26
91,93,Toronto Raptors,Dallas Mavericks,2005-11-28
66,92,Toronto Raptors,Memphis Grizzlies,2005-11-30
101,102,Atlanta Hawks,Toronto Raptors,2005-12-02
82,95,New Jersey Nets,Toronto Raptors,2005-12-03
119,111,Washington Wizards,Toronto Raptors,2005-12-06
91,102,Toronto Raptors,Los Angeles Lakers,2005-12-07
103,111,Charlotte Bobcats,Toronto Raptors,2005-12-10
94,105,Toronto Raptors,Chicago Bulls,2005-12-14
98,108,Toronto Raptors,Golden State Warriors,2005-12-16
80,107,Toronto Raptors,Philadelphia 76ers,2005-12-18
90,92,Orlando Magic,Toronto Raptors,2005-12-19
81,94,Houston Rockets,Toronto Raptors,2005-12-21
95,90,San Antonio Spurs,Toronto Raptors,2005-12-23
113,106,Detroit Pistons,Toronto Raptors,2005-12-27
108,102,Toronto Raptors,Atlanta Hawks,2005-12-28
97,99,Indiana Pacers,Toronto Raptors,2005-12-30
97,108,Atlanta Hawks,Toronto Raptors,2006-01-03
121,97,Toronto Raptors,Orlando Magic,2006-01-04
112,92,Toronto Raptors,Houston Rockets,2006-01-06
104,105,Toronto Raptors,New Jersey Nets,2006-01-08
113,104,Chicago Bulls,Toronto Raptors,2006-01-09
95,86,Toronto Raptors,Charlotte Bobcats,2006-01-11
129,103,Toronto Raptors,New York Knicks,2006-01-15
111,98,Utah Jazz,Toronto Raptors,2006-01-17
96,94,Portland Trail Blazers,Toronto Raptors,2006-01-18
113,121,Seattle SuperSonics,Toronto Raptors,2006-01-20
122,104,Los Angeles Lakers,Toronto Raptors,2006-01-22
107,101,Denver Nuggets,Toronto Raptors,2006-01-23
88,104,Toronto Raptors,Chicago Bulls,2006-01-25
108,87,Milwaukee Bucks,Toronto Raptors,2006-01-27
124,123,Toronto Raptors,Sacramento Kings,2006-01-29
117,112,Toronto Raptors,Washington Wizards,2006-02-01
104,90,Toronto Raptors,New York Knicks,2006-02-03
113,115,Toronto Raptors,Los Angeles Clippers,2006-02-05
118,125,Toronto Raptors,San Antonio Spurs,2006-02-08
73,88,Charlotte Bobcats,Toronto Raptors,2006-02-10
114,81,Toronto Raptors,Portland Trail Blazers,2006-02-12
94,98,Minnesota Timberwolves,Toronto Raptors,2006-02-13
98,96,New York Knicks,Toronto Raptors,2006-02-15
94,88,Memphis Grizzlies,Toronto Raptors,2006-02-21
115,113,Dallas Mavericks,Toronto Raptors,2006-02-25
101,94,Miami Heat,Toronto Raptors,2006-02-27
111,113,Toronto Raptors,Atlanta Hawks,2006-03-01
105,100,New Jersey Nets,Toronto Raptors,2006-03-04
111,105,Toronto Raptors,Boston Celtics,2006-03-05
106,99,Cleveland Cavaliers,Toronto Raptors,2006-03-07
97,98,Toronto Raptors,Cleveland Cavaliers,2006-03-08
97,108,Toronto Raptors,Denver Nuggets,2006-03-10
93,89,Toronto Raptors,Indiana Pacers,2006-03-12
97,111,Philadelphia 76ers,Toronto Raptors,2006-03-14
98,105,Toronto Raptors,Detroit Pistons,2006-03-15
97,96,Toronto Raptors,Milwaukee Bucks,2006-03-17
109,114,New York Knicks,Toronto Raptors,2006-03-21
110,96,Boston Celtics,Toronto Raptors,2006-03-22
97,77,Toronto Raptors,Minnesota Timberwolves,2006-03-24
125,116,Milwaukee Bucks,Toronto Raptors,2006-03-26
94,98,Toronto Raptors,Miami Heat,2006-03-29
126,140,Toronto Raptors,Phoenix Suns,2006-03-31
113,120,Toronto Raptors,New Orleans/Oklahoma City Hornets,2006-04-02
120,124,Toronto Raptors,Boston Celtics,2006-04-04
111,103,Indiana Pacers,Toronto Raptors,2006-04-05
95,89,New Orleans/Oklahoma City Hornets,Toronto Raptors,2006-04-07
88,94,Toronto Raptors,Charlotte Bobcats,2006-04-09
106,97,Miami Heat,Toronto Raptors,2006-04-11
103,96,Orlando Magic,Toronto Raptors,2006-04-12
108,103,Toronto Raptors,Detroit Pistons,2006-04-14
95,120,Toronto Raptors,Indiana Pacers,2006-04-17
127,106,Chicago Bulls,Toronto Raptors,2006-04-19
102,92,New Jersey Nets,Toronto Raptors,2006-11-01
109,92,Toronto Raptors,Milwaukee Bucks,2006-11-03
94,103,Toronto Raptors,San Antonio Spurs,2006-11-05
106,104,Toronto Raptors,Philadelphia 76ers,2006-11-08
102,111,Toronto Raptors,Atlanta Hawks,2006-11-10
107,92,Sacramento Kings,Toronto Raptors,2006-11-12
