HOME_OR_AWAY,PLUS_MINUS,Z_SCORE_NORMALIZED,MIN_MAX_NORMALIZED
home,-2,-0.32390668448198046,0.40860215053763443
home,2,-0.009868916716822523,0.45161290322580644
home,17,1.16777271240252,0.6129032258064516
home,-2,-0.32390668448198046,0.40860215053763443
home,1,-0.08837835865811201,0.44086021505376344
home,-10,-0.9519822200122963,0.3225806451612903
home,-15,-1.3445294297187438,0.26881720430107525
home,-12,-1.1090011038948753,0.3010752688172043
home,-10,-0.9519822200122963,0.3225806451612903
home,4,0.14714996716575646,0.4731182795698925
home,-8,-0.7949633361297174,0.34408602150537637
home,11,0.6967160607547829,0.5483870967741935
home,-5,-0.5594350103058489,0.3763440860215054
home,15,1.0107538285199409,0.5913978494623656
home,-30,-2.522171058838086,0.10752688172043011
home,-10,-0.9519822200122963,0.3225806451612903
home,1,-0.08837835865811201,0.44086021505376344
home,-3,-0.4024161264232699,0.3978494623655914
home,-6,-0.6379444522471384,0.3655913978494624
home,9,0.5396971768722039,0.5268817204301075
home,11,0.6967160607547829,0.5483870967741935
home,8,0.4611877349309144,0.5161290322580645
home,6,0.3041688510483354,0.4946236559139785
home,23,1.6388293640502565,0.6774193548387096
home,8,0.4611877349309144,0.5161290322580645
home,-16,-1.4230388716600333,0.25806451612903225
home,8,0.4611877349309144,0.5161290322580645
home,-6,-0.6379444522471384,0.3655913978494624
home,-16,-1.4230388716600333,0.25806451612903225
home,10,0.6182066188134934,0.5376344086021505
home,15,1.0107538285199409,0.5913978494623656
home,-19,-1.6585671974839018,0.22580645161290322
home,-4,-0.4809255683645594,0.3870967741935484
home,-3,-0.4024161264232699,0.3978494623655914
home,-3,-0.4024161264232699,0.3978494623655914
home,18,1.2462821543438092,0.6236559139784946
home,5,0.22565940910704593,0.4838709677419355
home,3,0.06864052522446697,0.46236559139784944
home,3,0.06864052522446697,0.46236559139784944
home,-18,-1.5800577555426123,0.23655913978494625
home,-20,-1.7370766394251913,0.21505376344086022
home,-2,-0.32390668448198046,0.40860215053763443
home,17,1.16777271240252,0.6129032258064516
home,-12,-1.1090011038948753,0.3010752688172043
home,6,0.3041688510483354,0.4946236559139785
home,-1,-0.24539724254069098,0.41935483870967744
home,-8,-0.7949633361297174,0.34408602150537637
home,6,0.3041688510483354,0.4946236559139785
home,-8,-0.7949633361297174,0.34408602150537637
home,-3,-0.4024161264232699,0.3978494623655914
home,2,-0.009868916716822523,0.45161290322580644
home,7,0.3826782929896249,0.5053763440860215
home,-5,-0.5594350103058489,0.3763440860215054
home,-3,-0.4024161264232699,0.3978494623655914
home,-5,-0.5594350103058489,0.3763440860215054
home,-19,-1.6585671974839018,0.22580645161290322
home,-21,-1.8155860813664808,0.20430107526881722
home,-7,-0.7164538941884279,0.3548387096774194
home,16,1.0892632704612304,0.6021505376344086
home,-8,-0.7949633361297174,0.34408602150537637
home,18,1.2462821543438092,0.6236559139784946
home,-12,-1.1090011038948753,0.3010752688172043
home,1,-0.08837835865811201,0.44086021505376344
home,-3,-0.4024161264232699,0.3978494623655914
home,-40,-3.307265478250981,0.0
home,-5,-0.5594350103058489,0.3763440860215054
home,1,-0.08837835865811201,0.44086021505376344
home,-21,-1.8155860813664808,0.20430107526881722
home,-33,-2.7576993846619544,0.07526881720430108
home,4,0.14714996716575646,0.4731182795698925
home,-4,-0.4809255683645594,0.3870967741935484
home,-8,-0.7949633361297174,0.34408602150537637
home,4,0.14714996716575646,0.4731182795698925
home,1,-0.08837835865811201,0.44086021505376344
home,-11,-1.0304916619535858,0.3118279569892473
home,12,0.7752255026960724,0.5591397849462365
home,-8,-0.7949633361297174,0.34408602150537637
home,-8,-0.7949633361297174,0.34408602150537637
home,-3,-0.4024161264232699,0.3978494623655914
home,-11,-1.0304916619535858,0.3118279569892473
home,4,0.14714996716575646,0.4731182795698925
home,11,0.6967160607547829,0.5483870967741935
home,2,-0.009868916716822523,0.45161290322580644
home,8,0.4611877349309144,0.5161290322580645
home,-10,-0.9519822200122963,0.3225806451612903
home,-6,-0.6379444522471384,0.3655913978494624
