PLUS_MINUS_HOME,PLUS_MINUS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY
14,-14,Minnesota Timberwolves,Toronto Raptors
-6,6,Milwaukee Bucks,Toronto Raptors
28,-28,Boston Celtics,Toronto Raptors
13,-13,Washington Bullets,Toronto Raptors
46,-46,New York Knicks,Toronto Raptors
12,-12,New Jersey Nets,Toronto Raptors
4,-4,Toronto Raptors,Washington Bullets
-4,4,Toronto Raptors,Philadelphia 76ers
-8,8,Toronto Raptors,New York Knicks
11,-11,Charlotte Hornets,Toronto Raptors
4,-4,Toronto Raptors,Dallas Mavericks
1,-1,Toronto Raptors,Los Angeles Lakers
-11,11,Toronto Raptors,Denver Nuggets
12,-12,Toronto Raptors,Philadelphia 76ers
3,-3,New York Knicks,Toronto Raptors
5,-5,Orlando Magic,Toronto Raptors
-8,8,Toronto Raptors,Seattle SuperSonics
-8,8,Toronto Raptors,Cleveland Cavaliers
-3,3,Toronto Raptors,Atlanta Hawks
-11,11,Toronto Raptors,Sacramento Kings
4,-4,Toronto Raptors,Charlotte Hornets
9,-9,Minnesota Timberwolves,Toronto Raptors
11,-11,Toronto Raptors,Houston Rockets
19,-19,Cleveland Cavaliers,Toronto Raptors
2,-2,Toronto Raptors,Washington Bullets
26,-26,Atlanta Hawks,Toronto Raptors
8,-8,Toronto Raptors,Chicago Bulls
-10,10,Toronto Raptors,Golden State Warriors
2,-2,Boston Celtics,Toronto Raptors
1,-1,Miami Heat,Toronto Raptors
-6,6,Toronto Raptors,Detroit Pistons
-9,9,New Jersey Nets,Toronto Raptors
3,-3,Toronto Raptors,Milwaukee Bucks
9,-9,Cleveland Cavaliers,Toronto Raptors
19,-19,Indiana Pacers,Toronto Raptors
2,-2,Toronto Raptors,New Jersey Nets
18,-18,Washington Bullets,Toronto Raptors
2,-2,Orlando Magic,Toronto Raptors
44,-44,Detroit Pistons,Toronto Raptors
-7,7,Toronto Raptors,Los Angeles Clippers
14,-14,Toronto Raptors,Utah Jazz
-17,17,New Jersey Nets,Toronto Raptors
-3,3,Toronto Raptors,Orlando Magic
44,-44,Seattle SuperSonics,Toronto Raptors
-2,2,Portland Trail Blazers,Toronto Raptors
8,-8,Vancouver Grizzlies,Toronto Raptors
12,-12,Toronto Raptors,Minnesota Timberwolves
-12,12,Toronto Raptors,Miami Heat
12,-12,Chicago Bulls,Toronto Raptors
36,-36,Toronto Raptors,Portland Trail Blazers
2,-2,Philadelphia 76ers,Toronto Raptors
24,-24,Toronto Raptors,Phoenix Suns
-12,12,Toronto Raptors,Boston Celtics
5,-5,Toronto Raptors,Cleveland Cavaliers
5,-5,Milwaukee Bucks,Toronto Raptors
22,-22,Atlanta Hawks,Toronto Raptors
-4,4,Toronto Raptors,Milwaukee Bucks
-3,3,Toronto Raptors,Detroit Pistons
2,-2,Indiana Pacers,Toronto Raptors
-33,33,San Antonio Spurs,Toronto Raptors
10,-10,Houston Rockets,Toronto Raptors
-7,7,Dallas Mavericks,Toronto Raptors
-2,2,Denver Nuggets,Toronto Raptors
4,-4,Utah Jazz,Toronto Raptors
2,-2,Los Angeles Clippers,Toronto Raptors
-4,4,Toronto Raptors,Boston Celtics
-6,6,Toronto Raptors,New York Knicks
-3,3,Toronto Raptors,San Antonio Spurs
4,-4,Toronto Raptors,Vancouver Grizzlies
-4,4,Phoenix Suns,Toronto Raptors
-7,7,Sacramento Kings,Toronto Raptors
4,-4,Golden State Warriors,Toronto Raptors
8,-8,Los Angeles Lakers,Toronto Raptors
12,-12,Toronto Raptors,Philadelphia 76ers
-2,2,Detroit Pistons,Toronto Raptors
-5,5,Toronto Raptors,Charlotte Hornets
-11,11,Toronto Raptors,Atlanta Hawks
-14,14,Toronto Raptors,Indiana Pacers
-13,13,Toronto Raptors,Chicago Bulls
27,-27,Washington Bullets,Toronto Raptors
5,-5,Toronto Raptors,Miami Heat
-22,22,Philadelphia 76ers,Toronto Raptors
14,-14,Miami Heat,Toronto Raptors
6,-6,Toronto Raptors,Washington Bullets
-36,36,Toronto Raptors,Orlando Magic
-11,11,Toronto Raptors,Indiana Pacers
17,-17,Chicago Bulls,Toronto Raptors
7,-7,Milwaukee Bucks,Toronto Raptors
-8,8,Charlotte Hornets,Toronto Raptors
-31,31,Boston Celtics,Toronto Raptors
13,-13,Miami Heat,Toronto Raptors
5,-5,Atlanta Hawks,Toronto Raptors
18,-18,Toronto Raptors,Golden State Warriors
-17,17,Toronto Raptors,Seattle SuperSonics
9,-9,Orlando Magic,Toronto Raptors
-2,2,Toronto Raptors,San Antonio Spurs
-23,23,Toronto Raptors,New York Knicks
4,-4,Boston Celtics,Toronto Raptors
-28,28,Toronto Raptors,Indiana Pacers
-13,13,Toronto Raptors,Boston Celtics
30,-30,Houston Rockets,Toronto Raptors
4,-4,Miami Heat,Toronto Raptors
-1,1,Toronto Raptors,Portland Trail Blazers
-5,5,Toronto Raptors,Atlanta Hawks
2,-2,Dallas Mavericks,Toronto Raptors
6,-6,Los Angeles Lakers,Toronto Raptors
17,-17,Utah Jazz,Toronto Raptors
19,-19,Phoenix Suns,Toronto Raptors
-10,10,Toronto Raptors,Detroit Pistons
-13,13,Toronto Raptors,Charlotte Hornets
-7,7,Philadelphia 76ers,Toronto Raptors
27,-27,Chicago Bulls,Toronto Raptors
-7,7,Toronto Raptors,Indiana Pacers
-5,5,Toronto Raptors,Boston Celtics
1,-1,Toronto Raptors,Milwaukee Bucks
-2,2,Toronto Raptors,Washington Wizards
2,-2,Charlotte Hornets,Toronto Raptors
-3,3,New York Knicks,Toronto Raptors
5,-5,Detroit Pistons,Toronto Raptors
27,-27,Washington Wizards,Toronto Raptors
-3,3,Toronto Raptors,Detroit Pistons
12,-12,Indiana Pacers,Toronto Raptors
-24,24,Toronto Raptors,Houston Rockets
-2,2,Toronto Raptors,Orlando Magic
-9,9,Cleveland Cavaliers,Toronto Raptors
-8,8,Toronto Raptors,New Jersey Nets
8,-8,Toronto Raptors,Los Angeles Clippers
-11,11,Toronto Raptors,New York Knicks
21,-21,Charlotte Hornets,Toronto Raptors
1,-1,Toronto Raptors,Sacramento Kings
6,-6,Toronto Raptors,Minnesota Timberwolves
4,-4,Toronto Raptors,Philadelphia 76ers
-4,4,Denver Nuggets,Toronto Raptors
26,-26,Sacramento Kings,Toronto Raptors
7,-7,Portland Trail Blazers,Toronto Raptors
-5,5,Toronto Raptors,Phoenix Suns
8,-8,Toronto Raptors,Dallas Mavericks
7,-7,Chicago Bulls,Toronto Raptors
-9,9,Toronto Raptors,Cleveland Cavaliers
15,-15,New Jersey Nets,Toronto Raptors
-21,21,Toronto Raptors,Miami Heat
-37,37,Toronto Raptors,Chicago Bulls
5,-5,Milwaukee Bucks,Toronto Raptors
8,-8,Toronto Raptors,Vancouver Grizzlies
11,-11,San Antonio Spurs,Toronto Raptors
-8,8,Orlando Magic,Toronto Raptors
-15,15,Toronto Raptors,Utah Jazz
34,-34,Cleveland Cavaliers,Toronto Raptors
22,-22,Minnesota Timberwolves,Toronto Raptors
7,-7,Vancouver Grizzlies,Toronto Raptors
18,-18,Seattle SuperSonics,Toronto Raptors
32,-32,Los Angeles Clippers,Toronto Raptors
-2,2,Golden State Warriors,Toronto Raptors
-12,12,Toronto Raptors,Atlanta Hawks
1,-1,Toronto Raptors,Denver Nuggets
6,-6,Detroit Pistons,Toronto Raptors
-2,2,Toronto Raptors,Chicago Bulls
-17,17,Toronto Raptors,Charlotte Hornets
-1,1,Toronto Raptors,Cleveland Cavaliers
-27,27,Toronto Raptors,Orlando Magic
-9,9,Toronto Raptors,Los Angeles Lakers
14,-14,Atlanta Hawks,Toronto Raptors
8,-8,Washington Wizards,Toronto Raptors
12,-12,Philadelphia 76ers,Toronto Raptors
9,-9,Milwaukee Bucks,Toronto Raptors
-7,7,Toronto Raptors,Milwaukee Bucks
-6,6,Toronto Raptors,Miami Heat
-7,7,Toronto Raptors,New Jersey Nets
-4,4,New Jersey Nets,Toronto Raptors
29,-29,New York Knicks,Toronto Raptors
9,-9,Indiana Pacers,Toronto Raptors
-29,29,Toronto Raptors,Philadelphia 76ers
-11,11,Boston Celtics,Toronto Raptors
1,-1,Washington Wizards,Toronto Raptors
-14,14,Toronto Raptors,Milwaukee Bucks
18,-18,Miami Heat,Toronto Raptors
